Model,Params,File,Accuracy
arzwiki_20230101_w2v_cbow.model,"<vocab_size=487,466, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,13.88
arzwiki_20230101_w2v_skipgram.model,"<vocab_size=487,466, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,5.0
arzwiki_20230101_fasttext_skipgram.model,"<vocab_size=487,466, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,10.13
arzwiki_20230101_fasttext_cbow.model,"<vocab_size=487,466, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,11.64
arzwiki_20230101_glove.vectors,"<vocab_size=487,466, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,0.53
arzwiki_20230101_w2v_cbow.model,"<vocab_size=487,466, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,26.97
arzwiki_20230101_w2v_skipgram.model,"<vocab_size=487,466, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,9.08
arzwiki_20230101_fasttext_skipgram.model,"<vocab_size=487,466, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,20.86
arzwiki_20230101_fasttext_cbow.model,"<vocab_size=487,466, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,18.22
arzwiki_20230101_glove.vectors,"<vocab_size=487,466, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,3.29
arzwiki_20230101_w2v_cbow.model,"<vocab_size=487,466, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,33.09
arzwiki_20230101_w2v_skipgram.model,"<vocab_size=487,466, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,11.05
arzwiki_20230101_fasttext_skipgram.model,"<vocab_size=487,466, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,28.09
arzwiki_20230101_fasttext_cbow.model,"<vocab_size=487,466, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,22.37
arzwiki_20230101_glove.vectors,"<vocab_size=487,466, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,5.2
